SourceHash,RawStoredPath,ExportedAtLocal,ExportedAtTimeZone,ActivityDateTime,ActivityDate,ActivityType,AccountId,MaskedAccount,AccountLabel,Description,Symbol,Quantity,Price,OrderNumber,Fee,Commission,Amount,CashActivityClass,IsTradeCashEffect,IsEconomicCashFlow,IsSweep,IsTransfer,IsDividendOrInterest
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-12 10:00:54,2026-06-12,Bought,900001003,x1003,Partnership / LLC / LLP - x1003,25 of SPMO @ $15.206 (Order # 6876),SPMO,25,15.206,6876,0.00,0,-380.15,Trade,true,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-12 10:00:25,2026-06-12,Bought,900001003,x1003,Partnership / LLC / LLP - x1003,30 of CRDO @ $24.925 (Order # 3915),CRDO,30,24.925,3915,0.00,0,-747.74,Trade,true,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-12 09:45:51,2026-06-12,Bought,900001003,x1003,Partnership / LLC / LLP - x1003,150 of SPMO @ $15.012 (Order # 2520),SPMO,150,15.012,2520,0.00,0,-2251.8,Trade,true,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-12 09:30:00,2026-06-12,Bought,900001003,x1003,Partnership / LLC / LLP - x1003,15 of MDLZ @ $6.332 (Order # 5675),MDLZ,15,6.332,5675,0.00,0,-94.98,Trade,true,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-12 03:00:00,2026-06-12,Sweep,900001003,x1003,Partnership / LLC / LLP - x1003,BANK DEPOSIT PROGRAM,,,,,0.00,0,-1147.677,Other,false,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-11 16:00:02,2026-06-11,Sold,900001003,x1003,Partnership / LLC / LLP - x1003,5 of CLS @ $38.586 (Order # 7961),CLS,5,38.586,7961,0.00,0.004,192.926,Trade,true,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-11 16:00:01,2026-06-11,Sold,900001003,x1003,Partnership / LLC / LLP - x1003,1 of LITE @ $88.959 (Order # 1069),LITE,1,88.959,1069,0.00,0.002,88.957,Trade,true,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-11 16:00:00,2026-06-11,Sold,900001003,x1003,Partnership / LLC / LLP - x1003,50 of SHLD @ $6.515 (Order # 7124),SHLD,50,6.515,7124,0.00,0.007,325.742,Trade,true,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-11 16:00:00,2026-06-11,Sold,900001003,x1003,Partnership / LLC / LLP - x1003,10 of GDE @ $6.315 (Order # 3463),GDE,10,6.315,3463,0.00,0.002,63.148,Trade,true,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-11 16:00:00,2026-06-11,Sold,900001003,x1003,Partnership / LLC / LLP - x1003,25 of SLV @ $6.082 (Order # 7511),SLV,25,6.082,7511,0.00,0.004,152.046,Trade,true,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-11 16:00:00,2026-06-11,Sold,900001003,x1003,Partnership / LLC / LLP - x1003,39 of SLV @ $6.082 (Order # 4291),SLV,39,6.082,4291,0.00,0.005,237.192,Trade,true,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-11 15:00:24,2026-06-11,Sold,900001003,x1003,Partnership / LLC / LLP - x1003,1 of LITE @ $87.668 (Order # 2427),LITE,1,87.668,2427,0.00,0.002,87.666,Trade,true,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-11 03:00:00,2026-06-11,Sweep,900001003,x1003,Partnership / LLC / LLP - x1003,BANK DEPOSIT PROGRAM,,,,,0.00,0,-2394.948,Other,false,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-10 16:00:01,2026-06-10,Sold,900001003,x1003,Partnership / LLC / LLP - x1003,2 of LITE @ $85.326 (Order # 3580),LITE,2,85.326,3580,0.00,0.004,170.648,Trade,true,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-10 16:00:01,2026-06-10,Sold,900001003,x1003,Partnership / LLC / LLP - x1003,5 of LITE @ $85.326 (Order # 8576),LITE,5,85.326,8576,0.00,0.009,426.621,Trade,true,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-10 16:00:01,2026-06-10,Sold,900001003,x1003,Partnership / LLC / LLP - x1003,3 of MU @ $89.188 (Order # 6208),MU,3,89.188,6208,0.00,0.006,267.558,Trade,true,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-10 16:00:01,2026-06-10,Sold,900001003,x1003,Partnership / LLC / LLP - x1003,1 of LITE @ $85.326 (Order # 6312),LITE,1,85.326,6312,0.00,0.002,85.324,Trade,true,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-10 10:03:55,2026-06-10,Sold,900001003,x1003,Partnership / LLC / LLP - x1003,175 of ETH @ $1.571 (Order # 9898),ETH,175,1.571,9898,0.00,0.006,274.916,Trade,true,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-10 10:03:19,2026-06-10,Sold,900001003,x1003,Partnership / LLC / LLP - x1003,15 of CLS @ $37.433 (Order # 8582),CLS,15,37.433,8582,0.00,0.012,561.483,Trade,true,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-10 10:02:06,2026-06-10,Sold,900001003,x1003,Partnership / LLC / LLP - x1003,10 of AGX @ $60.841 (Order # 6556),AGX,10,60.841,6556,0.00,0.013,608.398,Trade,true,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-10 03:00:00,2026-06-10,Sweep,900001003,x1003,Partnership / LLC / LLP - x1003,BANK DEPOSIT PROGRAM,,,,,0.00,0,-545.169,Other,false,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-09 16:00:02,2026-06-09,Sold,900001003,x1003,Partnership / LLC / LLP - x1003,21 of BE @ $25.961 (Order # 1894),BE,21,25.961,1894,0.00,0.012,545.169,Trade,true,true,false,false,false
1002a0d204823d25e881383b749b0cc291fc63b4e0e24e8fce4b974a087fa6aa,data/raw/etrade/account_history/20260701-235622-2727ed26bcd5-demo-a-History.csv,2026-07-01 19:29:00,EST,2026-06-08 03:00:00,2026-06-08,Sweep,900001003,x1003,Partnership / LLC / LLP - x1003,BANK DEPOSIT PROGRAM,,,,,0.00,0,7.249,Other,false,true,false,false,false
